dexNum,name,baseName,slug,type1,type2,evolvesFromName,evolvesFromDexNum,evolvesFromCondition,evolvesTo
31,Nidoqueen,Nidoqueen,nidoqueen,Poison,Ground,Nidorina,30,use Moon Stone,
32,Nidoran♂,Nidoran♂,nidoran-m,Poison,,,,,Nidorino (Level 16)
33,Nidorino,Nidorino,nidorino,Poison,,Nidoran♂,32,Level 16,Nidoking (use Moon Stone)
34,Nidoking,Nidoking,nidoking,Poison,Ground,Nidorino,33,use Moon Stone,
35,Clefairy,Clefairy,clefairy,Fairy,,Cleffa,173,high Friendship,Clefable (use Moon Stone)
36,Clefable,Clefable,clefable,Fairy,,Clefairy,35,use Moon Stone,
37,Vulpix,Vulpix,vulpix,Fire,,,,,Ninetales (use Fire Stone)
38,Ninetales,Ninetales,ninetales,Fire,,Vulpix,37,use Fire Stone,
39,Jigglypuff,Jigglypuff,jigglypuff,Normal,Fairy,Igglybuff,174,high Friendship,Wigglytuff (use Moon Stone)
40,Wigglytuff,Wigglytuff,wigglytuff,Normal,Fairy,Jigglypuff,39,use Moon Stone,
41,Zubat,Zubat,zubat,Poison,Flying,,,,Golbat (Level 22)
42,Golbat,Golbat,golbat,Poison,Flying,Zubat,41,Level 22,Crobat (high Friendship)
43,Oddish,Oddish,oddish,Grass,Poison,,,,Gloom (Level 21)
44,Gloom,Gloom,gloom,Grass,Poison,Oddish,43,Level 21,Vileplume (use Leaf Stone); Bellossom (use Sun Stone)
45,Vileplume,Vileplume,vileplume,Grass,Poison,Gloom,44,use Leaf Stone,
46,Paras,Paras,paras,Bug,Grass,,,,Parasect (Level 24)
47,Parasect,Parasect,parasect,Bug,Grass,Paras,46,Level 24,
48,Venonat,Venonat,venonat,Bug,Poison,,,,Venomoth (Level 31)
49,Venomoth,Venomoth,venomoth,Bug,Poison,Venonat,48,Level 31,
50,Diglett,Diglett,diglett,Ground,,,,,Dugtrio (Level 26)
51,Dugtrio,Dugtrio,dugtrio,Ground,,Diglett,50,Level 26,
52,Meowth,Meowth,meowth,Normal,,,,,Persian (Level 28)
53,Persian,Persian,persian,Normal,,Meowth,52,Level 28,
54,Psyduck,Psyduck,psyduck,Water,,,,,Golduck (Level 33)
55,Golduck,Golduck,golduck,Water,,Psyduck,54,Level 33,
56,Mankey,Mankey,mankey,Fighting,,,,,Primeape (Level 28)
57,Primeape,Primeape,primeape,Fighting,,Mankey,56,Level 28,Annihilape (Use Rage Fist 20 times)
58,Growlithe,Growlithe,growlithe,Fire,,,,,Arcanine (use Fire Stone)
59,Arcanine,Arcanine,arcanine,Fire,,Growlithe,58,use Fire Stone,
60,Poliwag,Poliwag,poliwag,Water,,,,,Poliwhirl (Level 25)
61,Poliwhirl,Poliwhirl,poliwhirl,Water,,Poliwag,60,Level 25,Poliwrath (use Water Stone); Politoed (trade holding Kings Rock)
62,Poliwrath,Poliwrath,poliwrath,Water,Fighting,Poliwhirl,61,use Water Stone,
63,Abra,Abra,abra,Psychic,,,,,Kadabra (Level 16)
64,Kadabra,Kadabra,kadabra,Psychic,,Abra,63,Level 16,Alakazam (Trade)
65,Alakazam,Alakazam,alakazam,Psychic,,Kadabra,64,Trade,
66,Machop,Machop,machop,Fighting,,,,,Machoke (Level 28)
67,Machoke,Machoke,machoke,Fighting,,Machop,66,Level 28,Machamp (Trade)
68,Machamp,Machamp,machamp,Fighting,,Machoke,67,Trade,
69,Bellsprout,Bellsprout,bellsprout,Grass,Poison,,,,Weepinbell (Level 21)
70,Weepinbell,Weepinbell,weepinbell,Grass,Poison,Bellsprout,69,Level 21,Victreebel (use Leaf Stone)
71,Victreebel,Victreebel,victreebel,Grass,Poison,Weepinbell,70,use Leaf Stone,
72,Tentacool,Tentacool,tentacool,Water,Poison,,,,Tentacruel (Level 30)
73,Tentacruel,Tentacruel,tentacruel,Water,Poison,Tentacool,72,Level 30,
74,Geodude,Geodude,geodude,Rock,Ground,,,,Graveler (Level 25)
75,Graveler,Graveler,graveler,Rock,Ground,Geodude,74,Level 25,Golem (Trade)
76,Golem,Golem,golem,Rock,Ground,Graveler,75,Trade,
77,Ponyta,Ponyta,ponyta,Fire,,,,,Rapidash (Level 40)
78,Rapidash,Rapidash,rapidash,Fire,,Ponyta,77,Level 40,
79,Slowpoke,Slowpoke,slowpoke,Water,Psychic,,,,Slowbro (Level 37); Slowking (trade holding Kings Rock)
80,Slowbro,Slowbro,slowbro,Water,Psychic,Slowpoke,79,Level 37,
81,Magnemite,Magnemite,magnemite,Electric,Steel,,,,Magneton (Level 30)
82,Magneton,Magneton,magneton,Electric,Steel,Magnemite,81,Level 30,"Magnezone (use Thunder Stone, in Gen 8+, or level up in a Magnetic Field area)"
83,Galarian Farfetch'd,Farfetch'd,farfetchd,Fighting,,,,,Sirfetch'd (achieve 3 critical hits in one battle)
84,Doduo,Doduo,doduo,Normal,Flying,,,,Dodrio (Level 31)
85,Dodrio,Dodrio,dodrio,Normal,Flying,Doduo,84,Level 31,
86,Seel,Seel,seel,Water,,,,,Dewgong (Level 34)
87,Dewgong,Dewgong,dewgong,Water,Ice,Seel,86,Level 34,
88,Grimer,Grimer,grimer,Poison,,,,,Muk (Level 38)
89,Muk,Muk,muk,Poison,,Grimer,88,Level 38,
90,Shellder,Shellder,shellder,Water,,,,,Cloyster (use Water Stone)
91,Cloyster,Cloyster,cloyster,Water,Ice,Shellder,90,use Water Stone,
92,Gastly,Gastly,gastly,Ghost,Poison,,,,Haunter (Level 25)
93,Haunter,Haunter,haunter,Ghost,Poison,Gastly,92,Level 25,Gengar (Trade)
94,Gengar,Gengar,gengar,Ghost,Poison,Haunter,93,Trade,
95,Onix,Onix,onix,Rock,Ground,,,,Steelix (trade holding Metal Coat)
96,Drowzee,Drowzee,drowzee,Psychic,,,,,Hypno (Level 26)
97,Hypno,Hypno,hypno,Psychic,,Drowzee,96,Level 26,
98,Krabby,Krabby,krabby,Water,,,,,Kingler (Level 28)
99,Kingler,Kingler,kingler,Water,,Krabby,98,Level 28,
100,Voltorb,Voltorb,voltorb,Electric,,,,,Electrode (Level 30)
101,Electrode,Electrode,electrode,Electric,,Voltorb,100,Level 30,
102,Exeggcute,Exeggcute,exeggcute,Grass,Psychic,,,,"Exeggutor (use Leaf Stone, outside Alola); Alolan Exeggutor (use Leaf Stone, in Alola)"
103,Alolan Exeggutor,Exeggutor,exeggutor,Grass,Dragon,Exeggcute,102,"use Leaf Stone, in Alola",
103,Exeggutor,Exeggutor,exeggutor,Grass,Psychic,Exeggcute,102,"use Leaf Stone, outside Alola",
104,Cubone,Cubone,cubone,Ground,,,,,"Marowak (Level 28, outside Alola); Alolan Marowak (Level 28, Nighttime, in Alola)"
105,Alolan Marowak,Marowak,marowak,Fire,Ghost,Cubone,104,"Level 28, Nighttime, in Alola",
105,Marowak,Marowak,marowak,Ground,,Cubone,104,"Level 28, outside Alola",
106,Hitmonlee,Hitmonlee,hitmonlee,Fighting,,Tyrogue,236,"Level 20, Attack > Defense",
107,Hitmonchan,Hitmonchan,hitmonchan,Fighting,,Tyrogue,236,"Level 20, Attack < Defense",
108,Lickitung,Lickitung,lickitung,Normal,,,,,Lickilicky (after Rollout learned)
109,Koffing,Koffing,koffing,Poison,,,,,"Weezing (Level 35, outside Galar); Galarian Weezing (Level 35, in Galar)"
110,Galarian Weezing,Weezing,weezing,Poison,Fairy,Koffing,109,"Level 35, in Galar",
110,Weezing,Weezing,weezing,Poison,,Koffing,109,"Level 35, outside Galar",
111,Rhyhorn,Rhyhorn,rhyhorn,Ground,Rock,,,,Rhydon (Level 42)
112,Rhydon,Rhydon,rhydon,Ground,Rock,Rhyhorn,111,Level 42,Rhyperior (trade holding Protector)
113,Chansey,Chansey,chansey,Normal,,Happiny,440,"hold Oval Stone, Daytime",Blissey (high Friendship)
114,Tangela,Tangela,tangela,Grass,,,,,Tangrowth (after Ancient Power learned)
116,Horsea,Horsea,horsea,Water,,,,,Seadra (Level 32)
117,Seadra,Seadra,seadra,Water,,Horsea,116,Level 32,Kingdra (trade holding Dragon Scale)
118,Goldeen,Goldeen,goldeen,Water,,,,,Seaking (Level 33)
119,Seaking,Seaking,seaking,Water,,Goldeen,118,Level 33,
120,Staryu,Staryu,staryu,Water,,,,,Starmie (use Water Stone)
121,Starmie,Starmie,starmie,Water,Psychic,Staryu,120,use Water Stone,
122,Galarian Mr. Mime,Mr. Mime,mr-mime,Ice,Psychic,Mime Jr.,439,"after Mimic learned, in Galar",Mr. Rime (Level 42)
122,Mr. Mime,Mr. Mime,mr-mime,Psychic,Fairy,Mime Jr.,439,"after Mimic learned, outside Galar",
123,Scyther,Scyther,scyther,Bug,Flying,,,,Scizor (trade holding Metal Coat); Kleavor (use Black Augurite)
124,Jynx,Jynx,jynx,Ice,Psychic,Smoochum,238,Level 30,
125,Electabuzz,Electabuzz,electabuzz,Electric,,Elekid,239,Level 30,Electivire (trade holding Electirizer)
126,Magmar,Magmar,magmar,Fire,,Magby,240,Level 30,Magmortar (trade holding Magmarizer)
129,Magikarp,Magikarp,magikarp,Water,,,,,Gyarados (Level 20)
130,Gyarados,Gyarados,gyarados,Water,Flying,Magikarp,129,Level 20,
133,Eevee,Eevee,eevee,Normal,,,,,Vaporeon (use Water Stone); Jolteon (use Thunder Stone); Flareon (use Fire Stone)
134,Vaporeon,Vaporeon,vaporeon,Water,,Eevee,133,use Water Stone,
135,Jolteon,Jolteon,jolteon,Electric,,Eevee,133,use Thunder Stone,
136,Flareon,Flareon,flareon,Fire,,Eevee,133,use Fire Stone,
137,Porygon,Porygon,porygon,Normal,,,,,Porygon2 (trade holding Upgrade)
138,Omanyte,Omanyte,omanyte,Rock,Water,,,,Omastar (Level 40)
139,Omastar,Omastar,omastar,Rock,Water,Omanyte,138,Level 40,
140,Kabuto,Kabuto,kabuto,Rock,Water,,,,Kabutops (Level 40)
141,Kabutops,Kabutops,kabutops,Rock,Water,Kabuto,140,Level 40,
143,Snorlax,Snorlax,snorlax,Normal,,Munchlax,446,high Friendship,
147,Dratini,Dratini,dratini,Dragon,,,,,Dragonair (Level 30)
148,Dragonair,Dragonair,dragonair,Dragon,,Dratini,147,Level 30,Dragonite (Level 55)
149,Dragonite,Dragonite,dragonite,Dragon,Flying,Dragonair,148,Level 55,
152,Chikorita,Chikorita,chikorita,Grass,,,,,Bayleef (Level 16)
153,Bayleef,Bayleef,bayleef,Grass,,Chikorita,152,Level 16,Meganium (Level 32)
154,Meganium,Meganium,meganium,Grass,,Bayleef,153,Level 32,
155,Cyndaquil,Cyndaquil,cyndaquil,Fire,,,,,"Quilava (Level 14, or Level 17 in Legends: Arceus)"
156,Quilava,Quilava,quilava,Fire,,Cyndaquil,155,"Level 14, or Level 17 in Legends: Arceus","Typhlosion (Level 36); Hisuian Typhlosion (Level 36, in Legends: Arceus)"
157,Hisuian Typhlosion,Typhlosion,typhlosion,Fire,Ghost,Quilava,156,"Level 36, in Legends: Arceus",
157,Typhlosion,Typhlosion,typhlosion,Fire,,Quilava,156,Level 36,
158,Totodile,Totodile,totodile,Water,,,,,Croconaw (Level 18)
159,Croconaw,Croconaw,croconaw,Water,,Totodile,158,Level 18,Feraligatr (Level 30)
160,Feraligatr,Feraligatr,feraligatr,Water,,Croconaw,159,Level 30,
161,Sentret,Sentret,sentret,Normal,,,,,Furret (Level 15)
162,Furret,Furret,furret,Normal,,Sentret,161,Level 15,
163,Hoothoot,Hoothoot,hoothoot,Normal,Flying,,,,Noctowl (Level 20)
164,Noctowl,Noctowl,noctowl,Normal,Flying,Hoothoot,163,Level 20,
165,Ledyba,Ledyba,ledyba,Bug,Flying,,,,Ledian (Level 18)
166,Ledian,Ledian,ledian,Bug,Flying,Ledyba,165,Level 18,
167,Spinarak,Spinarak,spinarak,Bug,Poison,,,,Ariados (Level 22)
168,Ariados,Ariados,ariados,Bug,Poison,Spinarak,167,Level 22,
169,Crobat,Crobat,crobat,Poison,Flying,Golbat,42,high Friendship,
170,Chinchou,Chinchou,chinchou,Water,Electric,,,,Lanturn (Level 27)
171,Lanturn,Lanturn,lanturn,Water,Electric,Chinchou,170,Level 27,
172,Pichu,Pichu,pichu,Electric,,,,,Pikachu (high Friendship)
173,Cleffa,Cleffa,cleffa,Fairy,,,,,Clefairy (high Friendship)
174,Igglybuff,Igglybuff,igglybuff,Normal,Fairy,,,,Jigglypuff (high Friendship)
175,Togepi,Togepi,togepi,Fairy,,,,,Togetic (high Friendship)
176,Togetic,Togetic,togetic,Fairy,Flying,Togepi,175,high Friendship,Togekiss (use Shiny Stone)
177,Natu,Natu,natu,Psychic,Flying,,,,Xatu (Level 25)
178,Xatu,Xatu,xatu,Psychic,Flying,Natu,177,Level 25,
179,Mareep,Mareep,mareep,Electric,,,,,Flaaffy (Level 15)
180,Flaaffy,Flaaffy,flaaffy,Electric,,Mareep,179,Level 15,Ampharos (Level 30)
181,Ampharos,Ampharos,ampharos,Electric,,Flaaffy,180,Level 30,
182,Bellossom,Bellossom,bellossom,Grass,,Gloom,44,use Sun Stone,
183,Marill,Marill,marill,Water,Fairy,Azurill,298,high Friendship,Azumarill (Level 18)
184,Azumarill,Azumarill,azumarill,Water,Fairy,Marill,183,Level 18,
185,Sudowoodo,Sudowoodo,sudowoodo,Rock,,Bonsly,438,after Mimic learned,
186,Politoed,Politoed,politoed,Water,,Poliwhirl,61,trade holding Kings Rock,
187,Hoppip,Hoppip,hoppip,Grass,Flying,,,,Skiploom (Level 18)
188,Skiploom,Skiploom,skiploom,Grass,Flying,Hoppip,187,Level 18,Jumpluff (Level 27)
189,Jumpluff,Jumpluff,jumpluff,Grass,Flying,Skiploom,188,Level 27,
190,Aipom,Aipom,aipom,Normal,,,,,Ambipom (after Double Hit learned)
191,Sunkern,Sunkern,sunkern,Grass,,,,,Sunflora (use Sun Stone)
192,Sunflora,Sunflora,sunflora,Grass,,Sunkern,191,use Sun Stone,
193,Yanma,Yanma,yanma,Bug,Flying,,,,Yanmega (after Ancient Power learned)
194,Wooper,Wooper,wooper,Water,Ground,,,,Quagsire (Level 20)
195,Quagsire,Quagsire,quagsire,Water,Ground,Wooper,194,Level 20,
198,Murkrow,Murkrow,murkrow,Dark,Flying,,,,Honchkrow (use Dusk Stone)
199,Slowking,Slowking,slowking,Water,Psychic,Slowpoke,79,trade holding Kings Rock,
200,Misdreavus,Misdreavus,misdreavus,Ghost,,,,,Mismagius (use Dusk Stone)
202,Wobbuffet,Wobbuffet,wobbuffet,Psychic,,Wynaut,360,Level 15,
203,Girafarig,Girafarig,girafarig,Normal,Psychic,,,,Farigiraf (after Twin Beam learned)
204,Pineco,Pineco,pineco,Bug,,,,,Forretress (Level 31)
205,Forretress,Forretress,forretress,Bug,Steel,Pineco,204,Level 31,
206,Dunsparce,Dunsparce,dunsparce,Normal,,,,,"Dudunsparce (Two-Segment Form) (after Hyper Drill learned); Dudunsparce (Three-Segment Form) (after Hyper Drill learned, rare)"
207,Gligar,Gligar,gligar,Ground,Flying,,,,"Gliscor (hold Razor Fang, Nighttime)"
208,Steelix,Steelix,steelix,Steel,Ground,Onix,95,trade holding Metal Coat,
209,Snubbull,Snubbull,snubbull,Fairy,,,,,Granbull (Level 23)
210,Granbull,Granbull,granbull,Fairy,,Snubbull,209,Level 23,
211,Hisuian Qwilfish,Qwilfish,qwilfish,Dark,Poison,,,,Overqwil (use Barb Barrage 20 times in Strong Style)
212,Scizor,Scizor,scizor,Bug,Steel,Scyther,123,trade holding Metal Coat,
215,Sneasel,Sneasel,sneasel,Dark,Ice,,,,"Weavile (hold Razor Claw, Nighttime)"
216,Teddiursa,Teddiursa,teddiursa,Normal,,,,,Ursaring (Level 30)
217,Ursaring,Ursaring,ursaring,Normal,,Teddiursa,216,Level 30,"Ursaluna (use Peat Block, under a full moon, in Legends: Arceus)"
218,Slugma,Slugma,slugma,Fire,,,,,Magcargo (Level 38)
219,Magcargo,Magcargo,magcargo,Fire,Rock,Slugma,218,Level 38,
220,Swinub,Swinub,swinub,Ice,Ground,,,,Piloswine (Level 33)
221,Piloswine,Piloswine,piloswine,Ice,Ground,Swinub,220,Level 33,Mamoswine (after Ancient Power learned)
222,Galarian Corsola,Corsola,corsola,Ghost,,,,,Cursola (Level 38)
223,Remoraid,Remoraid,remoraid,Water,,,,,Octillery (Level 25)
224,Octillery,Octillery,octillery,Water,,Remoraid,223,Level 25,
226,Mantine,Mantine,mantine,Water,Flying,Mantyke,458,with Remoraid in party,
228,Houndour,Houndour,houndour,Dark,Fire,,,,Houndoom (Level 24)
229,Houndoom,Houndoom,houndoom,Dark,Fire,Houndour,228,Level 24,
230,Kingdra,Kingdra,kingdra,Water,Dragon,Seadra,117,trade holding Dragon Scale,
231,Phanpy,Phanpy,phanpy,Ground,,,,,Donphan (Level 25)
232,Donphan,Donphan,donphan,Ground,,Phanpy,231,Level 25,
233,Porygon2,Porygon2,porygon2,Normal,,Porygon,137,trade holding Upgrade,Porygon-Z (trade holding Dubious Disc)
234,Stantler,Stantler,stantler,Normal,,,,,Wyrdeer (use Psyshield Bash 20 times in Agile Style)
236,Tyrogue,Tyrogue,tyrogue,Fighting,,,,,"Hitmonlee (Level 20, Attack > Defense); Hitmonchan (Level 20, Attack < Defense); Hitmontop (Level 20, Attack = Defense)"
237,Hitmontop,Hitmontop,hitmontop,Fighting,,Tyrogue,236,"Level 20, Attack = Defense",
238,Smoochum,Smoochum,smoochum,Ice,Psychic,,,,Jynx (Level 30)
239,Elekid,Elekid,elekid,Electric,,,,,Electabuzz (Level 30)
240,Magby,Magby,magby,Fire,,,,,Magmar (Level 30)
242,Blissey,Blissey,blissey,Normal,,Chansey,113,high Friendship,
246,Larvitar,Larvitar,larvitar,Rock,Ground,,,,Pupitar (Level 30)
247,Pupitar,Pupitar,pupitar,Rock,Ground,Larvitar,246,Level 30,Tyranitar (Level 55)
248,Tyranitar,Tyranitar,tyranitar,Rock,Dark,Pupitar,247,Level 55,
252,Treecko,Treecko,treecko,Grass,,,,,Grovyle (Level 16)
253,Grovyle,Grovyle,grovyle,Grass,,Treecko,252,Level 16,Sceptile (Level 36)
254,Sceptile,Sceptile,sceptile,Grass,,Grovyle,253,Level 36,
255,Torchic,Torchic,torchic,Fire,,,,,Combusken (Level 16)
256,Combusken,Combusken,combusken,Fire,Fighting,Torchic,255,Level 16,Blaziken (Level 36)
257,Blaziken,Blaziken,blaziken,Fire,Fighting,Combusken,256,Level 36,
258,Mudkip,Mudkip,mudkip,Water,,,,,Marshtomp (Level 16)
259,Marshtomp,Marshtomp,marshtomp,Water,Ground,Mudkip,258,Level 16,Swampert (Level 36)
260,Swampert,Swampert,swampert,Water,Ground,Marshtomp,259,Level 36,
261,Poochyena,Poochyena,poochyena,Dark,,,,,Mightyena (Level 18)
262,Mightyena,Mightyena,mightyena,Dark,,Poochyena,261,Level 18,
263,Zigzagoon,Zigzagoon,zigzagoon,Normal,,,,,Linoone (Level 20)
264,Linoone,Linoone,linoone,Normal,,Zigzagoon,263,Level 20,
265,Wurmple,Wurmple,wurmple,Bug,,,,,"Silcoon (Level 7, random based on personality); Cascoon (Level 7, random based on personality)"
266,Silcoon,Silcoon,silcoon,Bug,,Wurmple,265,"Level 7, random based on personality",Beautifly (Level 10)
267,Beautifly,Beautifly,beautifly,Bug,Flying,Silcoon,266,Level 10,
268,Cascoon,Cascoon,cascoon,Bug,,Wurmple,265,"Level 7, random based on personality",Dustox (Level 10)
269,Dustox,Dustox,dustox,Bug,Poison,Cascoon,268,Level 10,
270,Lotad,Lotad,lotad,Water,Grass,,,,Lombre (Level 14)
271,Lombre,Lombre,lombre,Water,Grass,Lotad,270,Level 14,Ludicolo (use Water Stone)
272,Ludicolo,Ludicolo,ludicolo,Water,Grass,Lombre,271,use Water Stone,
273,Seedot,Seedot,seedot,Grass,,,,,Nuzleaf (Level 14)
274,Nuzleaf,Nuzleaf,nuzleaf,Grass,Dark,Seedot,273,Level 14,Shiftry (use Leaf Stone)
275,Shiftry,Shiftry,shiftry,Grass,Dark,Nuzleaf,274,use Leaf Stone,
276,Taillow,Taillow,taillow,Normal,Flying,,,,Swellow (Level 22)
277,Swellow,Swellow,swellow,Normal,Flying,Taillow,276,Level 22,
278,Wingull,Wingull,wingull,Water,Flying,,,,Pelipper (Level 25)
279,Pelipper,Pelipper,pelipper,Water,Flying,Wingull,278,Level 25,
280,Ralts,Ralts,ralts,Psychic,Fairy,,,,Kirlia (Level 20)
281,Kirlia,Kirlia,kirlia,Psychic,Fairy,Ralts,280,Level 20,"Gardevoir (Level 30); Gallade (use Dawn Stone, Male)"
282,Gardevoir,Gardevoir,gardevoir,Psychic,Fairy,Kirlia,281,Level 30,
283,Surskit,Surskit,surskit,Bug,Water,,,,Masquerain (Level 22)
284,Masquerain,Masquerain,masquerain,Bug,Flying,Surskit,283,Level 22,
285,Shroomish,Shroomish,shroomish,Grass,,,,,Breloom (Level 23)
286,Breloom,Breloom,breloom,Grass,Fighting,Shroomish,285,Level 23,
287,Slakoth,Slakoth,slakoth,Normal,,,,,Vigoroth (Level 18)
288,Vigoroth,Vigoroth,vigoroth,Normal,,Slakoth,287,Level 18,Slaking (Level 36)
289,Slaking,Slaking,slaking,Normal,,Vigoroth,288,Level 36,
290,Nincada,Nincada,nincada,Bug,Ground,,,,"Ninjask (Level 20); Ninjask (Level 20, empty spot in party, Pokéball in bag)"
291,Ninjask,Ninjask,ninjask,Bug,Flying,Nincada,290,Level 20,
293,Whismur,Whismur,whismur,Normal,,,,,Loudred (Level 20)
294,Loudred,Loudred,loudred,Normal,,Whismur,293,Level 20,Exploud (Level 40)
295,Exploud,Exploud,exploud,Normal,,Loudred,294,Level 40,
296,Makuhita,Makuhita,makuhita,Fighting,,,,,Hariyama (Level 24)
297,Hariyama,Hariyama,hariyama,Fighting,,Makuhita,296,Level 24,
298,Azurill,Azurill,azurill,Normal,Fairy,,,,Marill (high Friendship)
299,Nosepass,Nosepass,nosepass,Rock,,,,,"Probopass (use Thunder Stone, in Gen 8+, or level up in a Magnetic Field area)"
300,Skitty,Skitty,skitty,Normal,,,,,Delcatty (use Moon Stone)
301,Delcatty,Delcatty,delcatty,Normal,,Skitty,300,use Moon Stone,
304,Aron,Aron,aron,Steel,Rock,,,,Lairon (Level 32)
305,Lairon,Lairon,lairon,Steel,Rock,Aron,304,Level 32,Aggron (Level 42)
306,Aggron,Aggron,aggron,Steel,Rock,Lairon,305,Level 42,
307,Meditite,Meditite,meditite,Fighting,Psychic,,,,Medicham (Level 37)
308,Medicham,Medicham,medicham,Fighting,Psychic,Meditite,307,Level 37,
309,Electrike,Electrike,electrike,Electric,,,,,Manectric (Level 26)
310,Manectric,Manectric,manectric,Electric,,Electrike,309,Level 26,
315,Roselia,Roselia,roselia,Grass,Poison,Budew,406,"high Friendship, Daytime",Roserade (use Shiny Stone)
316,Gulpin,Gulpin,gulpin,Poison,,,,,Swalot (Level 26)
317,Swalot,Swalot,swalot,Poison,,Gulpin,316,Level 26,
318,Carvanha,Carvanha,carvanha,Water,Dark,,,,Sharpedo (Level 30)
319,Sharpedo,Sharpedo,sharpedo,Water,Dark,Carvanha,318,Level 30,
320,Wailmer,Wailmer,wailmer,Water,,,,,Wailord (Level 40)
321,Wailord,Wailord,wailord,Water,,Wailmer,320,Level 40,
322,Numel,Numel,numel,Fire,Ground,,,,Camerupt (Level 33)
323,Camerupt,Camerupt,camerupt,Fire,Ground,Numel,322,Level 33,
325,Spoink,Spoink,spoink,Psychic,,,,,Grumpig (Level 32)
326,Grumpig,Grumpig,grumpig,Psychic,,Spoink,325,Level 32,
328,Trapinch,Trapinch,trapinch,Ground,,,,,Vibrava (Level 35)
329,Vibrava,Vibrava,vibrava,Ground,Dragon,Trapinch,328,Level 35,Flygon (Level 45)
330,Flygon,Flygon,flygon,Ground,Dragon,Vibrava,329,Level 45,
331,Cacnea,Cacnea,cacnea,Grass,,,,,Cacturne (Level 32)
332,Cacturne,Cacturne,cacturne,Grass,Dark,Cacnea,331,Level 32,
333,Swablu,Swablu,swablu,Normal,Flying,,,,Altaria (Level 35)
334,Altaria,Altaria,altaria,Dragon,Flying,Swablu,333,Level 35,
339,Barboach,Barboach,barboach,Water,Ground,,,,Whiscash (Level 30)
340,Whiscash,Whiscash,whiscash,Water,Ground,Barboach,339,Level 30,
341,Corphish,Corphish,corphish,Water,,,,,Crawdaunt (Level 30)
342,Crawdaunt,Crawdaunt,crawdaunt,Water,Dark,Corphish,341,Level 30,
343,Baltoy,Baltoy,baltoy,Ground,Psychic,,,,Claydol (Level 36)
344,Claydol,Claydol,claydol,Ground,Psychic,Baltoy,343,Level 36,
345,Lileep,Lileep,lileep,Rock,Grass,,,,Cradily (Level 40)
346,Cradily,Cradily,cradily,Rock,Grass,Lileep,345,Level 40,
347,Anorith,Anorith,anorith,Rock,Bug,,,,Armaldo (Level 40)
348,Armaldo,Armaldo,armaldo,Rock,Bug,Anorith,347,Level 40,
