dexNum,name,baseName,type1,type2,total,hp,atk,def,spa,spd,spe
181,Ampharos,Ampharos,Electric,,510,90,75,85,115,90,55
181,Mega Ampharos,Ampharos,Electric,Dragon,610,90,95,105,165,110,45
182,Bellossom,Bellossom,Grass,,490,75,80,95,90,100,50
183,Marill,Marill,Water,Fairy,250,70,20,50,20,50,40
184,Azumarill,Azumarill,Water,Fairy,420,100,50,80,60,80,50
185,Sudowoodo,Sudowoodo,Rock,,410,70,100,115,30,65,30
186,Politoed,Politoed,Water,,500,90,75,75,90,100,70
187,Hoppip,Hoppip,Grass,Flying,250,35,35,40,35,55,50
188,Skiploom,Skiploom,Grass,Flying,340,55,45,50,45,65,80
189,Jumpluff,Jumpluff,Grass,Flying,460,75,55,70,55,95,110
190,Aipom,Aipom,Normal,,360,55,70,55,40,55,85
191,Sunkern,Sunkern,Grass,,180,30,30,30,30,30,30
192,Sunflora,Sunflora,Grass,,425,75,75,55,105,85,30
193,Yanma,Yanma,Bug,Flying,390,65,65,45,75,45,95
194,Wooper,Wooper,Water,Ground,210,55,45,45,25,25,15
194,Paldean Wooper,Wooper,Poison,Ground,210,55,45,45,25,25,15
195,Quagsire,Quagsire,Water,Ground,430,95,85,85,65,65,35
196,Espeon,Espeon,Psychic,,525,65,65,60,130,95,110
197,Umbreon,Umbreon,Dark,,525,95,65,110,60,130,65
198,Murkrow,Murkrow,Dark,Flying,405,60,85,42,85,42,91
199,Slowking,Slowking,Water,Psychic,490,95,75,80,100,110,30
199,Galarian Slowking,Slowking,Poison,Psychic,490,95,65,80,110,110,30
200,Misdreavus,Misdreavus,Ghost,,435,60,60,60,85,85,85
201,Unown,Unown,Psychic,,336,48,72,48,72,48,48
202,Wobbuffet,Wobbuffet,Psychic,,405,190,33,58,33,58,33
203,Girafarig,Girafarig,Normal,Psychic,455,70,80,65,90,65,85
204,Pineco,Pineco,Bug,,290,50,65,90,35,35,15
205,Forretress,Forretress,Bug,Steel,465,75,90,140,60,60,40
206,Dunsparce,Dunsparce,Normal,,415,100,70,70,65,65,45
207,Gligar,Gligar,Ground,Flying,430,65,75,105,35,65,85
208,Steelix,Steelix,Steel,Ground,510,75,85,200,55,65,30
208,Mega Steelix,Steelix,Steel,Ground,610,75,125,230,55,95,30
209,Snubbull,Snubbull,Fairy,,300,60,80,50,40,40,30
210,Granbull,Granbull,Fairy,,450,90,120,75,60,60,45
211,Qwilfish,Qwilfish,Water,Poison,440,65,95,85,55,55,85
211,Hisuian Qwilfish,Qwilfish,Dark,Poison,440,65,95,85,55,55,85
212,Scizor,Scizor,Bug,Steel,500,70,130,100,55,80,65
212,Mega Scizor,Scizor,Bug,Steel,600,70,150,140,65,100,75
213,Shuckle,Shuckle,Bug,Rock,505,20,10,230,10,230,5
214,Heracross,Heracross,Bug,Fighting,500,80,125,75,40,95,85
214,Mega Heracross,Heracross,Bug,Fighting,600,80,185,115,40,105,75
215,Sneasel,Sneasel,Dark,Ice,430,55,95,55,35,75,115
215,Hisuian Sneasel,Sneasel,Fighting,Poison,430,55,95,55,35,75,115
216,Teddiursa,Teddiursa,Normal,,330,60,80,50,50,50,40
217,Ursaring,Ursaring,Normal,,500,90,130,75,75,75,55
218,Slugma,Slugma,Fire,,250,40,40,40,70,40,20
219,Magcargo,Magcargo,Fire,Rock,430,60,50,120,90,80,30
220,Swinub,Swinub,Ice,Ground,250,50,50,40,30,30,50
221,Piloswine,Piloswine,Ice,Ground,450,100,100,80,60,60,50
222,Corsola,Corsola,Water,Rock,410,65,55,95,65,95,35
222,Galarian Corsola,Corsola,Ghost,,410,60,55,100,65,100,30
223,Remoraid,Remoraid,Water,,300,35,65,35,65,35,65
224,Octillery,Octillery,Water,,480,75,105,75,105,75,45
225,Delibird,Delibird,Ice,Flying,330,45,55,45,65,45,75
226,Mantine,Mantine,Water,Flying,485,85,40,70,80,140,70
227,Skarmory,Skarmory,Steel,Flying,465,65,80,140,40,70,70
228,Houndour,Houndour,Dark,Fire,330,45,60,30,80,50,65
229,Houndoom,Houndoom,Dark,Fire,500,75,90,50,110,80,95
229,Mega Houndoom,Houndoom,Dark,Fire,600,75,90,90,140,90,115
230,Kingdra,Kingdra,Water,Dragon,540,75,95,95,95,95,85
231,Phanpy,Phanpy,Ground,,330,90,60,60,40,40,40
232,Donphan,Donphan,Ground,,500,90,120,120,60,60,50
233,Porygon2,Porygon2,Normal,,515,85,80,90,105,95,60
234,Stantler,Stantler,Normal,,465,73,95,62,85,65,85
235,Smeargle,Smeargle,Normal,,250,55,20,35,20,45,75
236,Tyrogue,Tyrogue,Fighting,,210,35,35,35,35,35,35
237,Hitmontop,Hitmontop,Fighting,,455,50,95,95,35,110,70
238,Smoochum,Smoochum,Ice,Psychic,305,45,30,15,85,65,65
239,Elekid,Elekid,Electric,,360,45,63,37,65,55,95
240,Magby,Magby,Fire,,365,45,75,37,70,55,83
241,Miltank,Miltank,Normal,,490,95,80,105,40,70,100
242,Blissey,Blissey,Normal,,540,255,10,10,75,135,55
243,Raikou,Raikou,Electric,,580,90,85,75,115,100,115
244,Entei,Entei,Fire,,580,115,115,85,90,75,100
245,Suicune,Suicune,Water,,580,100,75,115,90,115,85
246,Larvitar,Larvitar,Rock,Ground,300,50,64,50,45,50,41
247,Pupitar,Pupitar,Rock,Ground,410,70,84,70,65,70,51
248,Tyranitar,Tyranitar,Rock,Dark,600,100,134,110,95,100,61
248,Mega Tyranitar,Tyranitar,Rock,Dark,700,100,164,150,95,120,71
249,Lugia,Lugia,Psychic,Flying,680,106,90,130,90,154,110
250,Ho-oh,Ho-oh,Fire,Flying,680,106,130,90,110,154,90
251,Celebi,Celebi,Psychic,Grass,600,100,100,100,100,100,100
252,Treecko,Treecko,Grass,,310,40,45,35,65,55,70
253,Grovyle,Grovyle,Grass,,405,50,65,45,85,65,95
254,Sceptile,Sceptile,Grass,,530,70,85,65,105,85,120
254,Mega Sceptile,Sceptile,Grass,Dragon,630,70,110,75,145,85,145
255,Torchic,Torchic,Fire,,310,45,60,40,70,50,45
256,Combusken,Combusken,Fire,Fighting,405,60,85,60,85,60,55
257,Blaziken,Blaziken,Fire,Fighting,530,80,120,70,110,70,80
257,Mega Blaziken,Blaziken,Fire,Fighting,630,80,160,80,130,80,100
258,Mudkip,Mudkip,Water,,310,50,70,50,50,50,40
259,Marshtomp,Marshtomp,Water,Ground,405,70,85,70,60,70,50
260,Swampert,Swampert,Water,Ground,535,100,110,90,85,90,60
260,Mega Swampert,Swampert,Water,Ground,635,100,150,110,95,110,70
261,Poochyena,Poochyena,Dark,,220,35,55,35,30,30,35
262,Mightyena,Mightyena,Dark,,420,70,90,70,60,60,70
263,Zigzagoon,Zigzagoon,Normal,,240,38,30,41,30,41,60
263,Galarian Zigzagoon,Zigzagoon,Dark,Normal,240,38,30,41,30,41,60
264,Linoone,Linoone,Normal,,420,78,70,61,50,61,100
264,Galarian Linoone,Linoone,Dark,Normal,420,78,70,61,50,61,100
265,Wurmple,Wurmple,Bug,,195,45,45,35,20,30,20
266,Silcoon,Silcoon,Bug,,205,50,35,55,25,25,15
267,Beautifly,Beautifly,Bug,Flying,395,60,70,50,100,50,65
268,Cascoon,Cascoon,Bug,,205,50,35,55,25,25,15
269,Dustox,Dustox,Bug,Poison,385,60,50,70,50,90,65
270,Lotad,Lotad,Water,Grass,220,40,30,30,40,50,30
271,Lombre,Lombre,Water,Grass,340,60,50,50,60,70,50
272,Ludicolo,Ludicolo,Water,Grass,480,80,70,70,90,100,70
273,Seedot,Seedot,Grass,,220,40,40,50,30,30,30
274,Nuzleaf,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60
275,Shiftry,Shiftry,Grass,Dark,480,90,100,60,90,60,80
276,Taillow,Taillow,Normal,Flying,270,40,55,30,30,30,85
277,Swellow,Swellow,Normal,Flying,455,60,85,60,75,50,125
278,Wingull,Wingull,Water,Flying,270,40,30,30,55,30,85
279,Pelipper,Pelipper,Water,Flying,440,60,50,100,95,70,65
280,Ralts,Ralts,Psychic,Fairy,198,28,25,25,45,35,40
281,Kirlia,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50
282,Gardevoir,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80
282,Mega Gardevoir,Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100
283,Surskit,Surskit,Bug,Water,269,40,30,32,50,52,65
284,Masquerain,Masquerain,Bug,Flying,454,70,60,62,100,82,80
285,Shroomish,Shroomish,Grass,,295,60,40,60,40,60,35
286,Breloom,Breloom,Grass,Fighting,460,60,130,80,60,60,70
287,Slakoth,Slakoth,Normal,,280,60,60,60,35,35,30
288,Vigoroth,Vigoroth,Normal,,440,80,80,80,55,55,90
289,Slaking,Slaking,Normal,,550,130,140,80,75,45,80
290,Nincada,Nincada,Bug,Ground,266,31,45,90,30,30,40
291,Ninjask,Ninjask,Bug,Flying,456,61,90,45,50,50,160
292,Shedinja,Shedinja,Bug,Ghost,236,1,90,45,30,30,40
293,Whismur,Whismur,Normal,,240,64,51,23,51,23,28
294,Loudred,Loudred,Normal,,360,84,71,43,71,43,48
295,Exploud,Exploud,Normal,,490,104,91,63,91,73,68
296,Makuhita,Makuhita,Fighting,,237,72,60,30,20,30,25
297,Hariyama,Hariyama,Fighting,,474,144,120,60,40,60,50
298,Azurill,Azurill,Normal,Fairy,190,50,20,40,20,40,20
299,Nosepass,Nosepass,Rock,,375,30,45,135,45,90,30
300,Skitty,Skitty,Normal,,260,50,45,45,35,35,50
301,Delcatty,Delcatty,Normal,,400,70,65,65,55,55,90
302,Sableye,Sableye,Dark,Ghost,380,50,75,75,65,65,50
302,Mega Sableye,Sableye,Dark,Ghost,480,50,85,125,85,115,20
303,Mawile,Mawile,Steel,Fairy,380,50,85,85,55,55,50
303,Mega Mawile,Mawile,Steel,Fairy,480,50,105,125,55,95,50
304,Aron,Aron,Steel,Rock,330,50,70,100,40,40,30
305,Lairon,Lairon,Steel,Rock,430,60,90,140,50,50,40
306,Aggron,Aggron,Steel,Rock,530,70,110,180,60,60,50
306,Mega Aggron,Aggron,Steel,,630,70,140,230,60,80,50
307,Meditite,Meditite,Fighting,Psychic,280,30,40,55,40,55,60
308,Medicham,Medicham,Fighting,Psychic,410,60,60,75,60,75,80
308,Mega Medicham,Medicham,Fighting,Psychic,510,60,100,85,80,85,100
309,Electrike,Electrike,Electric,,295,40,45,40,65,40,65
310,Manectric,Manectric,Electric,,475,70,75,60,105,60,105
310,Mega Manectric,Manectric,Electric,,575,70,75,80,135,80,135
311,Plusle,Plusle,Electric,,405,60,50,40,85,75,95
312,Minun,Minun,Electric,,405,60,40,50,75,85,95
313,Volbeat,Volbeat,Bug,,430,65,73,75,47,85,85
314,Illumise,Illumise,Bug,,430,65,47,75,73,85,85
315,Roselia,Roselia,Grass,Poison,400,50,60,45,100,80,65
316,Gulpin,Gulpin,Poison,,302,70,43,53,43,53,40
317,Swalot,Swalot,Poison,,467,100,73,83,73,83,55
318,Carvanha,Carvanha,Water,Dark,305,45,90,20,65,20,65
319,Sharpedo,Sharpedo,Water,Dark,460,70,120,40,95,40,95
319,Mega Sharpedo,Sharpedo,Water,Dark,560,70,140,70,110,65,105
